,iid,gender,age,field,attr,sinc,intel,fun,amb,shar,exercise,hiking,sports,art,museums,reading,shopping,dining,theater,concerts,movies,tv,music,goal
89,90,Female,23.0,10.0,15.0,21.0,18.0,18.0,10.0,18.0,6.0,6.0,8.0,9.0,8.0,10.0,4.0,5.0,7.0,7.0,8.0,6.0,6.0,2.0
118,120,Female,20.0,6.0,10.0,10.0,35.0,35.0,8.0,2.0,4.0,3.0,5.0,5.0,7.0,10.0,3.0,8.0,10.0,6.0,9.0,6.0,8.0,5.0
119,121,Female,21.0,3.0,35.0,15.0,5.0,30.0,15.0,0.0,6.0,6.0,2.0,10.0,6.0,7.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,5.0
121,123,Male,18.0,5.0,50.0,10.0,20.0,5.0,5.0,10.0,8.0,5.0,9.0,2.0,3.0,2.0,7.0,8.0,2.0,7.0,7.0,7.0,7.0,2.0
123,125,Male,21.0,4.0,20.0,15.0,20.0,15.0,12.0,18.0,9.0,1.0,3.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,2.0,9.0,1.0
148,150,Female,31.0,7.0,12.0,20.0,20.0,20.0,14.0,14.0,3.0,9.0,5.0,3.0,3.0,7.0,2.0,5.0,1.0,5.0,7.0,1.0,4.0,4.0
150,152,Female,27.0,13.0,14.0,20.0,20.0,14.0,18.0,14.0,4.0,5.0,4.0,8.0,9.0,10.0,7.0,8.0,9.0,9.0,10.0,5.0,9.0,1.0
154,156,Female,30.0,8.0,14.0,18.0,16.0,18.0,18.0,16.0,10.0,8.0,3.0,10.0,10.0,10.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0
163,165,Male,30.0,13.0,16.67,12.5,20.83,18.75,12.5,18.75,6.0,2.0,3.0,7.0,7.0,10.0,2.0,6.0,8.0,5.0,8.0,8.0,5.0,3.0
165,167,Male,23.0,10.0,18.6,13.95,18.6,16.28,16.28,16.28,8.0,9.0,9.0,8.0,8.0,6.0,3.0,6.0,6.0,6.0,8.0,5.0,7.0,2.0
166,168,Male,23.0,10.0,11.11,17.78,17.78,17.78,17.78,17.78,3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,1.0
167,169,Male,28.0,10.0,17.78,20.0,17.78,15.56,15.56,13.33,8.0,7.0,10.0,7.0,9.0,4.0,4.0,9.0,7.0,8.0,6.0,2.0,8.0,2.0
184,186,Male,24.0,5.0,19.44,19.44,22.22,16.67,11.11,11.11,4.0,6.0,5.0,3.0,5.0,6.0,6.0,9.0,4.0,8.0,7.0,7.0,8.0,1.0
198,200,Female,25.0,8.0,13.21,18.87,18.87,16.98,16.98,15.09,9.0,10.0,10.0,7.0,7.0,8.0,3.0,8.0,8.0,9.0,8.0,1.0,10.0,1.0
200,202,Female,22.0,2.0,15.38,19.23,19.23,19.23,15.38,11.54,9.0,4.0,8.0,4.0,6.0,8.0,7.0,7.0,7.0,6.0,9.0,7.0,7.0,2.0
202,204,Female,26.0,8.0,19.61,15.69,17.65,15.69,17.65,13.73,9.0,3.0,10.0,10.0,10.0,8.0,10.0,9.0,5.0,3.0,5.0,4.0,8.0,3.0
209,211,Female,28.0,13.0,16.36,16.36,18.18,18.18,16.36,14.55,9.0,5.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,7.0,2.0
212,214,Male,23.0,10.0,17.02,21.28,17.02,21.28,14.89,8.51,10.0,7.0,9.0,7.0,6.0,3.0,7.0,8.0,9.0,4.0,6.0,1.0,6.0,1.0
220,222,Male,27.0,2.0,9.52,19.05,23.81,19.05,4.76,23.81,6.0,6.0,5.0,9.0,10.0,9.0,3.0,8.0,9.0,10.0,9.0,1.0,8.0,2.0
225,227,Male,26.0,8.0,20.0,16.0,18.0,16.0,16.0,14.0,7.0,2.0,7.0,7.0,9.0,10.0,5.0,10.0,8.0,5.0,9.0,8.0,7.0,2.0
234,236,Female,24.0,10.0,15.0,20.0,15.0,20.0,15.0,15.0,3.0,7.0,9.0,9.0,9.0,7.0,4.0,7.0,4.0,4.0,7.0,5.0,10.0,2.0
247,249,Male,33.0,8.0,22.0,22.0,15.0,15.0,5.0,21.0,1.0,1.0,7.0,6.0,8.0,10.0,4.0,10.0,3.0,8.0,8.0,7.0,5.0,2.0
251,253,Female,33.0,3.0,25.0,30.0,10.0,10.0,5.0,20.0,5.0,6.0,5.0,10.0,10.0,10.0,7.0,8.0,7.0,7.0,10.0,7.0,7.0,2.0
255,257,Female,24.0,9.0,22.0,14.0,30.0,10.0,14.0,10.0,6.0,10.0,7.0,10.0,10.0,10.0,4.0,9.0,5.0,10.0,10.0,2.0,10.0,2.0
265,267,Female,26.0,10.0,20.0,30.0,10.0,15.0,10.0,15.0,5.0,4.0,4.0,6.0,7.0,3.0,10.0,9.0,5.0,4.0,9.0,9.0,9.0,1.0
266,268,Female,24.0,4.0,30.0,20.0,20.0,10.0,15.0,5.0,6.0,6.0,8.0,3.0,4.0,8.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0
284,286,Male,22.0,2.0,10.0,15.0,25.0,15.0,15.0,20.0,4.0,9.0,7.0,7.0,8.0,8.0,3.0,3.0,8.0,8.0,7.0,6.0,6.0,1.0
286,288,Male,27.0,3.0,20.0,20.0,15.0,25.0,10.0,10.0,3.0,6.0,9.0,5.0,5.0,9.0,2.0,8.0,6.0,5.0,7.0,2.0,7.0,1.0
291,293,Male,28.0,8.0,23.0,18.0,21.0,18.0,10.0,10.0,7.0,6.0,6.0,7.0,8.0,9.0,6.0,10.0,9.0,8.0,9.0,6.0,8.0,2.0
299,301,Female,34.0,9.0,20.0,20.0,20.0,20.0,10.0,10.0,9.0,5.0,5.0,8.0,7.0,9.0,5.0,10.0,9.0,9.0,10.0,5.0,9.0,2.0
300,302,Female,21.0,3.0,50.0,5.0,20.0,10.0,5.0,10.0,9.0,6.0,10.0,6.0,5.0,5.0,6.0,7.0,7.0,9.0,7.0,7.0,9.0,2.0
301,303,Female,33.0,9.0,20.0,25.0,25.0,10.0,15.0,5.0,9.0,7.0,7.0,7.0,9.0,10.0,5.0,9.0,9.0,8.0,9.0,2.0,9.0,4.0
312,314,Male,32.0,13.0,20.0,10.0,30.0,20.0,10.0,10.0,7.0,2.0,9.0,4.0,6.0,6.0,8.0,8.0,3.0,6.0,7.0,7.0,8.0,2.0
313,315,Male,27.0,5.0,6.67,19.05,42.86,9.52,14.29,7.62,2.0,8.0,8.0,8.0,8.0,7.0,2.0,8.0,8.0,7.0,9.0,1.0,7.0,3.0
316,318,Male,29.0,8.0,40.0,30.0,10.0,8.0,2.0,10.0,8.0,7.0,8.0,5.0,4.0,7.0,7.0,6.0,7.0,5.0,8.0,6.0,8.0,2.0
340,342,Female,33.0,9.0,40.0,15.0,25.0,5.0,15.0,0.0,4.0,1.0,3.0,10.0,9.0,7.0,10.0,10.0,8.0,1.0,10.0,10.0,4.0,1.0
350,352,Female,29.0,9.0,20.0,20.0,20.0,10.0,10.0,20.0,10.0,8.0,8.0,10.0,10.0,5.0,7.0,10.0,9.0,10.0,9.0,8.0,10.0,2.0
358,360,Female,24.0,3.0,20.0,30.0,10.0,10.0,10.0,20.0,6.0,9.0,9.0,8.0,7.0,7.0,7.0,9.0,7.0,10.0,7.0,6.0,10.0,2.0
362,364,Male,27.0,8.0,25.0,25.0,25.0,15.0,10.0,0.0,9.0,3.0,9.0,3.0,4.0,9.0,8.0,9.0,4.0,5.0,7.0,5.0,6.0,3.0
366,368,Male,24.0,13.0,20.0,10.0,25.0,20.0,10.0,15.0,4.0,3.0,4.0,7.0,9.0,9.0,8.0,8.0,7.0,8.0,9.0,9.0,9.0,1.0
370,372,Male,27.0,8.0,30.0,15.0,15.0,20.0,5.0,15.0,8.0,7.0,9.0,9.0,9.0,9.0,4.0,9.0,8.0,7.0,6.0,6.0,7.0,2.0
377,379,Female,38.0,8.0,15.0,15.0,20.0,15.0,15.0,20.0,6.0,7.0,4.0,8.0,8.0,6.0,3.0,7.0,7.0,6.0,9.0,7.0,6.0,2.0
379,381,Female,24.0,14.0,20.0,10.0,20.0,35.0,5.0,10.0,5.0,6.0,5.0,8.0,8.0,9.0,8.0,7.0,4.0,7.0,8.0,6.0,8.0,5.0
381,383,Female,27.0,9.0,25.0,20.0,10.0,20.0,15.0,10.0,9.0,5.0,9.0,8.0,8.0,6.0,7.0,9.0,4.0,8.0,9.0,9.0,7.0,3.0
385,387,Female,25.0,3.0,20.0,15.0,25.0,15.0,15.0,10.0,8.0,4.0,5.0,6.0,6.0,7.0,8.0,8.0,8.0,7.0,8.0,7.0,7.0,2.0
386,388,Female,24.0,3.0,22.0,17.0,15.0,15.0,15.0,16.0,8.0,5.0,7.0,3.0,3.0,7.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,2.0
392,394,Female,24.0,6.0,18.0,19.0,16.0,15.0,15.0,17.0,4.0,10.0,3.0,8.0,8.0,10.0,7.0,9.0,9.0,8.0,9.0,6.0,7.0,2.0
394,396,Female,25.0,15.0,15.0,18.0,18.0,18.0,15.0,16.0,7.0,7.0,3.0,10.0,10.0,10.0,7.0,10.0,10.0,10.0,10.0,9.0,10.0,2.0
397,399,Male,29.0,8.0,25.0,10.0,20.0,20.0,10.0,15.0,9.0,7.0,9.0,9.0,9.0,9.0,3.0,9.0,6.0,8.0,7.0,1.0,10.0,2.0
408,410,Male,27.0,8.0,20.0,20.0,20.0,20.0,10.0,10.0,5.0,8.0,10.0,1.0,1.0,8.0,1.0,8.0,2.0,4.0,4.0,2.0,5.0,1.0
421,423,Male,30.0,8.0,30.0,20.0,30.0,10.0,5.0,5.0,9.0,7.0,9.0,7.0,7.0,9.0,5.0,8.0,5.0,7.0,8.0,5.0,5.0,2.0
424,426,Male,24.0,8.0,25.0,7.0,35.0,20.0,8.0,5.0,7.0,3.0,7.0,4.0,6.0,5.0,4.0,8.0,7.0,6.0,6.0,3.0,6.0,2.0
425,427,Male,28.0,13.0,20.0,20.0,20.0,20.0,20.0,20.0,10.0,9.0,10.0,7.0,7.0,8.0,1.0,8.0,4.0,7.0,5.0,1.0,10.0,1.0
434,436,Female,23.0,1.0,28.0,8.0,17.0,22.0,17.0,8.0,9.0,8.0,8.0,7.0,8.0,9.0,10.0,10.0,8.0,6.0,10.0,10.0,10.0,1.0
443,445,Male,30.0,13.0,40.0,12.0,18.0,12.0,6.0,12.0,8.0,9.0,9.0,3.0,5.0,10.0,5.0,8.0,4.0,8.0,10.0,5.0,9.0,2.0
449,451,Male,30.0,8.0,20.0,40.0,5.0,20.0,5.0,10.0,2.0,3.0,3.0,3.0,4.0,6.0,6.0,4.0,5.0,7.0,7.0,7.0,8.0,2.0
452,454,Female,27.0,15.0,10.0,20.0,20.0,20.0,10.0,20.0,5.0,7.0,5.0,9.0,9.0,9.0,4.0,9.0,9.0,8.0,9.0,4.0,8.0,2.0
453,455,Female,24.0,10.0,10.0,25.0,20.0,16.0,20.0,9.0,3.0,7.0,3.0,7.0,10.0,10.0,9.0,10.0,8.0,8.0,9.0,4.0,9.0,1.0
455,457,Female,55.0,6.0,25.0,0.0,25.0,25.0,0.0,25.0,1.0,10.0,1.0,9.0,9.0,10.0,1.0,8.0,7.0,10.0,3.0,4.0,8.0,6.0
460,462,Male,33.0,5.0,30.0,30.0,10.0,10.0,0.0,20.0,5.0,1.0,8.0,6.0,6.0,3.0,2.0,2.0,5.0,6.0,7.0,8.0,9.0,4.0
468,470,Female,29.0,4.0,10.0,20.0,25.0,25.0,10.0,10.0,1.0,2.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0,10.0,5.0,6.0,1.0
469,471,Female,30.0,4.0,15.0,15.0,25.0,10.0,15.0,20.0,6.0,5.0,3.0,7.0,7.0,7.0,10.0,10.0,6.0,6.0,8.0,8.0,6.0,2.0
472,474,Female,30.0,10.0,15.0,20.0,10.0,30.0,5.0,20.0,10.0,9.0,10.0,7.0,7.0,8.0,6.0,10.0,4.0,7.0,3.0,1.0,10.0,1.0
475,477,Female,27.0,5.0,16.0,19.0,16.0,17.0,15.0,17.0,7.0,8.0,9.0,8.0,6.0,7.0,6.0,8.0,7.0,7.0,8.0,4.0,7.0,1.0
476,478,Female,26.0,13.0,20.0,20.0,10.0,20.0,10.0,20.0,9.0,9.0,9.0,9.0,7.0,8.0,4.0,7.0,7.0,8.0,9.0,4.0,9.0,1.0
479,481,Male,23.0,9.0,25.0,20.0,15.0,20.0,5.0,15.0,7.0,1.0,3.0,7.0,8.0,8.0,6.0,9.0,7.0,10.0,10.0,2.0,10.0,2.0
487,489,Male,28.0,8.0,20.0,10.0,20.0,20.0,20.0,0.0,7.0,6.0,7.0,9.0,9.0,6.0,6.0,9.0,9.0,9.0,9.0,6.0,7.0,3.0
491,493,Male,20.0,13.0,30.0,10.0,10.0,30.0,10.0,10.0,7.0,3.0,10.0,4.0,4.0,7.0,10.0,7.0,8.0,7.0,8.0,10.0,7.0,5.0
492,494,Male,30.0,6.0,25.0,25.0,25.0,25.0,0.0,0.0,4.0,1.0,8.0,10.0,10.0,8.0,9.0,10.0,9.0,7.0,10.0,6.0,8.0,4.0
494,496,Female,23.0,5.0,20.0,30.0,20.0,20.0,10.0,0.0,8.0,8.0,8.0,7.0,7.0,7.0,5.0,7.0,3.0,5.0,3.0,3.0,5.0,1.0
499,501,Female,26.0,10.0,30.0,10.0,20.0,10.0,10.0,20.0,8.0,6.0,5.0,9.0,9.0,9.0,7.0,8.0,9.0,9.0,9.0,7.0,10.0,5.0
501,503,Male,25.0,10.0,30.0,30.0,40.0,0.0,0.0,0.0,4.0,7.0,2.0,8.0,8.0,6.0,7.0,8.0,7.0,9.0,8.0,5.0,9.0,5.0
517,519,Female,26.0,9.0,40.0,5.0,30.0,15.0,5.0,5.0,9.0,7.0,9.0,7.0,8.0,9.0,2.0,5.0,7.0,7.0,8.0,4.0,8.0,2.0
519,521,Female,26.0,11.0,10.0,30.0,20.0,15.0,15.0,10.0,8.0,10.0,7.0,8.0,8.0,8.0,6.0,8.0,7.0,8.0,8.0,6.0,8.0,1.0
524,526,Female,26.0,11.0,10.0,10.0,30.0,20.0,10.0,15.0,3.0,6.0,2.0,7.0,10.0,8.0,4.0,10.0,10.0,6.0,8.0,4.0,8.0,1.0
531,533,Male,26.0,5.0,25.0,25.0,25.0,13.0,12.0,0.0,5.0,7.0,7.0,5.0,5.0,3.0,2.0,7.0,5.0,6.0,7.0,1.0,7.0,2.0
535,537,Male,22.0,5.0,20.0,5.0,25.0,25.0,5.0,20.0,7.0,3.0,6.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,1.0
537,539,Male,22.0,1.0,30.0,10.0,20.0,15.0,15.0,10.0,8.0,4.0,8.0,9.0,9.0,8.0,7.0,9.0,7.0,7.0,9.0,6.0,7.0,1.0
539,541,Male,23.0,5.0,40.0,30.0,0.0,20.0,0.0,10.0,7.0,4.0,10.0,5.0,3.0,3.0,9.0,8.0,5.0,10.0,10.0,10.0,9.0,3.0
545,547,Male,30.0,8.0,25.0,20.0,20.0,20.0,0.0,15.0,9.0,2.0,9.0,8.0,8.0,9.0,6.0,7.0,9.0,9.0,8.0,4.0,9.0,2.0
테스트,테스트,테스트
